"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45511990470,0231;2;1;1;5;;;;;;;;;"07/08/2024 23:46:17";"";""
45511990551,0301;2;1;2;1;;;;;;;;;"07/08/2024 23:46:24";"";""
45511990551,0301;2;1;2;2;;;;;;;;;"07/08/2024 23:46:24";"";""
45511990551,0301;2;1;1;25;;;;;;;;;"07/08/2024 23:46:24";"";""
45511990551,0301;2;0;1;5;;;;;;;;;"07/08/2024 23:46:24";"";""
45511990562,6273;2;0;2;1;;;;;;;;;"07/08/2024 23:46:25";"";""
45511990562,6273;2;0;2;2;;;;;;;;;"07/08/2024 23:46:25";"";""
45511990562,6273;2;0;1;25;;;;;;;;;"07/08/2024 23:46:25";"";""
45512836951,2037;2;1;1;5;;;;;;;;;"08/08/2024 20:05:13";"";""
45512837032,1644;2;1;2;1;;;;;;;;;"08/08/2024 20:05:20";"";""
45512837032,1644;2;1;2;2;;;;;;;;;"08/08/2024 20:05:20";"";""
45512837032,1644;2;1;1;25;;;;;;;;;"08/08/2024 20:05:20";"";""
45512837032,1644;2;0;1;5;;;;;;;;;"08/08/2024 20:05:20";"";""
45512837043,7384;2;0;2;1;;;;;;;;;"08/08/2024 20:05:21";"";""
45512837043,7384;2;0;2;2;;;;;;;;;"08/08/2024 20:05:21";"";""
45512837043,7384;2;0;1;25;;;;;;;;;"08/08/2024 20:05:21";"";""
"$RT_COUNT$";17;;;;;;;;;;;;;;;
